location,address,city,zip_code,lat,lon,category,state,info
Mecklenburg Mill,3327 N Davidson St,Charlotte,,35.2493528,-80.8023935,historic,NC,Vernacular
Matthews Post Office (former),195 N Trade St,Matthews,,35.1169983,-80.7218099,historic,NC,Neoclassical
Ziem House,1812 E Eighth St,Charlotte,,35.2151101,-80.8196339,historic,NC,Foursquare
Erwin-Oehler House Acreage,14401 Huntersville-Concord Rd,Huntersville,,35.4168189,-80.804446,historic,NC,Land
Bagley-Mullen House,129 N Poplar St,Charlotte,,35.2298359,-80.8442443,historic,NC,Queen Anne
Sloan-Davidson House,314 W Eighth St,Charlotte,,35.2324853,-80.8410897,historic,NC,Victorian
St. Mark's Episcopal Church,8600 Mt Holly-Huntersville Rd,Charlotte,,35.3479401,-80.8808207,historic,NC,Gothic Revival
Bradford Farm,15908 Davidson-Concord Rd,Huntersville,,35.4425178,-80.7737017,historic,NC,Queen Anne I
Restormel,829 Concord Rd,Davidson,,35.493675,-80.834408,historic,NC,Colonial Revival
Long Creek Mill Ruin,8604 Beatties Ford Rd,Charlotte,,35.345722,-80.882087,historic,NC,Mill Ruin
Thrift Mill,8300 Moore's Chapel Rd,Charlotte,,35.277188,-80.944716,historic,NC,Cotton Mill
Pineville Commercial Block,320 Main St,Pineville,,35.085957,-80.8907197,historic,NC,Commercial
McManaway House,1700 Queens Rd,Charlotte,,35.1920586,-80.829453,historic,NC,Italianate
Standard Oil Company of New Jersey Filling Station,1010 N Tryon St,Charlotte,,35.2347136,-80.8322644,historic,NC,Craftsman
W.P.A. Douglas Airport Hangar,4108 Minuteman Way,Charlotte,,35.225001,-80.933704,historic,NC,Art Deco
Red Front Department Store,1125 Belmont Ave,Charlotte,,35.226652,-80.819294,historic,NC,20th Century Commercial
Hand Pharmacy Building,3201 N Davidson St,Charlotte,,35.2471884,-80.8058116,historic,NC,Vernacular
Neely Slave Cemetery,13501 South Ridge Dr,Charlotte,,35.1107399,-80.9598206,historic,NC,Cemetery (slave)
Myers Park Streetcar Waiting Station,101 Hermitage Rd,Charlotte,,35.2057483,-80.8286312,historic,NC,Bungalow
Oakley House,129 Main St,Pineville,,35.0848693,-80.8881696,historic,NC,Craftsman
Cedar Grove House,8229 Gilead Rd,Huntersville,,35.4072152,-80.8876294,historic,NC,Greek Revival
Ingleside,7725 Bud Henderson Rd,Charlotte,,35.4048836,-80.9095579,historic,NC,Italianate
Treloar. William House,328 E Seventh St,Charlotte,,35.226658,-80.836748,historic,NC,Renaissance Revival
Newcombe-McElwee House,2817 Belvedere Ave,Charlotte,,35.227721,-80.795922,historic,NC,Tudor Revival
Croft School,9200 Bob Beatty Rd,Huntersville,,35.3470276,-80.8227052,historic,NC,Vernacular
Park Avenue Mill Village,409 Park Ave,Pineville,,35.081472,-80.8934425,historic,NC,Mill Village
Joseph Sykes Brothers Building,1445 S Mint St,Charlotte,,35.2191447,-80.8601354,historic,NC,Commercial
Park Avenue Mill Village,421 Park Ave,Pineville,,35.0820716,-80.8946094,historic,NC,Mill Village
Davidson School,251 South St,Davidson,,35.4961266,-80.8488066,historic,NC,Modern
Pineville Commercial Block,312 Main St,Pineville,,35.085849,-80.8904171,historic,NC,Commercial
Carnegie Library Building (old) (JCSU Campus),160 Beatties Ford Rd,Charlotte,,35.243604,-80.856864,historic,NC,Neoclassical
Addison Apartment Building,831 E Morehead St,Charlotte,,35.2143225,-80.844547,historic,NC,Neoclassical 
Trolley Walk,2100 E Seventh St,Charlotte,,35.2112057,-80.8169951,historic,NC,Walk
Scott-Hoke House,1717 Cleveland Ave,Charlotte,,35.2112231,-80.8558765,historic,NC,Queen Anne
Charlotte Coliseum,2700 E Independence Blvd,Charlotte,,35.205058,-80.7951951,historic,NC,Modern
Carolina Cadillac Company,1310 S Tryon St,Charlotte,,35.2183846,-80.8546009,historic,NC,Classical Revival
Grand Theater,333 Beatties Ford Rd,Charlotte,,35.2455718,-80.8572818,historic,NC,20th Century Commercial
Latta Arcade,316 S Tryon St,Charlotte,,35.2253511,-80.8461491,historic,NC,Beaux Arts
Bradford Store,15908 Davidson-Concord Rd,Huntersville,,35.4425178,-80.7737017,historic,NC,Rural Vernacular
Hayes-Byrum Store & House,8510 Steele Creek Rd,Charlotte,,35.1707888,-80.9597429,historic,NC,Vernacular
Thies Building,500 N Tryon St,Charlotte,,35.2300897,-80.8383411,historic,NC,Commercial
First United Presbyterian Church,201 E Seventh St,Charlotte,,35.2285772,-80.8383195,historic,NC,Gothic Revival
Steele Creek Presbyterian Church,7407 Steele Creek Rd,Charlotte,,35.1831633,-80.955094,historic,NC,Gothic Revival
Carter Hall (JCSU Campus),160 Beatties Ford Rd,Charlotte,,35.243604,-80.856864,historic,NC,Gothic Revival
Harrill-Porter House,329 E Kingston Ave,Charlotte,,35.2112295,-80.8542766,historic,NC,Vernacular
Matthews School,100 E McDowell St,Matthews,,35.1131116,-80.7224351,historic,NC,Colonial Revival
McQuay House,3200 Tuckaseegee Rd,Charlotte,,35.2437491,-80.8806919,historic,NC,Vernacular Colonial Revival
Mecklenburg County Courthouse,700 E Trade St,Charlotte,,35.2213738,-80.8373464,historic,NC,Neoclassical
Providence Women's Club Community House (land),9735 Community House Rd,Charlotte,,35.036843,-80.8278094,historic,NC,Land
Park Avenue Mill Village,415 Park Ave,Pineville,,35.0817735,-80.8940476,historic,NC,Mill Village
Charlotte Fire Station # 7,3210 N Davidson St,Charlotte,,35.2470734,-80.8051409,historic,NC,Storefront Style
Atherton Mill House,2005 Cleveland Ave,Charlotte,,35.2086296,-80.8587302,historic,NC,Mill House
McCausland Building-Thacker's Restaurant,221 S Tryon St,Charlotte,,35.2259534,-80.8446717,historic,NC,Commercial
Builders Building,312 W Trade St,Charlotte,,35.2295153,-80.8453471,historic,NC,Commercial
McAuley Road Farmland,16101 McAuley Rd,Huntersville,,35.430402,-80.782185,historic,NC,Farmland
Crowell-Berryhill Store,401 W Ninth St,Charlotte,,35.2336176,-80.8407881,historic,NC,Commercial
Carolina Transfer & Storage Company Building,1230 W Morehead St,Charlotte,,35.2292824,-80.8619802,historic,NC,Industrial
